Upper middle income,UMC,2.01414E+13
Uruguay,URY,51264390121
United States,USA,1.61553E+13
Uzbekistan,UZB,51821573338
St. Vincent and the Grenadines,VCT,692933740.7
"Venezuela, RB",VEN,3.81286E+11
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,4095000000
Vietnam,VNM,1.5582E+11
Vanuatu,VUT,781702874.1
World,WLD,7.48023E+13
Samoa,WSM,801152293.3
Kosovo,XKX,6473724785
"Yemen, Rep.",YEM,35401339869
South Africa,ZAF,3.96328E+11
Zambia,ZMB,25503370699
Zimbabwe,ZWE,14058378300
